Nama Hotel,Tanggal,Harga,Daerah,Bintang,Rating,Latitude,Longitude,LD,PD,Oktober,November,Weekend,AC,Restaurant,24-Hour Front Desk,Elevator,WiFi,Parking,Swimming Pool,Standard Room,Non-Standrad Room,sleman,yogyakarta,bantul,kulon progo,gunungkidul
Hotel Karunia Yogyakarta,1114,100000,yogyakarta,0,8.2,-7.7914838,110.3626074,0.000650513,220854.7,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Karunia Yogyakarta,1115,100000,yogyakarta,0,8.2,-7.7914838,110.3626074,0.000650513,241084.5,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Karunia Yogyakarta,1116,100000,yogyakarta,0,8.2,-7.7914838,110.3626074,0.000650513,230525.625,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1112,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,285916.6667,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1113,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,512391.2,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1114,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,201333.3333,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1115,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,196950.1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1116,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,183825,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1117,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,187325.1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
Hotel Jambu Indah Purnama,1118,100000,yogyakarta,0,7.7,-7.7937931,110.3702777,0.003125112,354805.5556,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
